Method,Name,Error,Occurrences
GET,/all_users,"ConnectionRefusedError(111, 'Connection refused')",2
GET,/user/Shandowarden,"RetriesExceeded('https://20.227.16.124/user/Shandowarden', 1, original=The handshake operation timed out)",5
GET,/all_users,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')",2
GET,/user/Shandowarden,"RetriesExceeded('https://20.227.16.124/user/Shandowarden', 1, original=[Errno 10060] [WinError 10060] Impossibile stabilire la connessione. Risposta non corretta della parte connessa dopo l'intervallo di tempo oppure mancata risposta dall'host collegato.)",1
GET,/user/MCRAW36,"ConnectionResetError(10054, ""Connessione in corso interrotta forzatamente dall'host remoto"", None, 10054, None)",2
GET,/user/zeren1ty,"RetriesExceeded('https://20.227.16.124/user/zeren1ty', 1, original=The handshake operation timed out)",3
GET,/stock/JP,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/stock/JP,"RetriesExceeded('https://20.227.16.124/stock/JP', 1, original=The handshake operation timed out)",7
GET,/stock/APPS,"RetriesExceeded('https://20.227.16.124/stock/APPS', 1, original=The handshake operation timed out)",2
GET,/stock/NET,"RetriesExceeded('https://20.227.16.124/stock/NET', 1, original=The read operation timed out)",11
GET,/all_users,"RetriesExceeded('https://20.227.16.124/all_users', 1, original=The handshake operation timed out)",45
GET,/user/MCRAW36,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/user/DANGERBLOOM,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)')",1
GET,/user/Sir_Trashbin,"RetriesExceeded('https://20.227.16.124/user/Sir_Trashbin', 1, original=The read operation timed out)",2
GET,/user/equityorasset,"ConnectionResetError(104, 'Connection reset by peer')",5
GET,/user/Happytimedean,"RetriesExceeded('https://20.227.16.124/user/Happytimedean', 1, original=The handshake operation timed out)",5
GET,/user/Happytimedean,"RetriesExceeded('https://20.227.16.124/user/Happytimedean', 1, original=The read operation timed out)",6
GET,/user/DANGERBLOOM,"ConnectionResetError(104, 'Connection reset by peer')",1
